,STRUCTURE_ID,COUNTY,OWNER,AGE,CONDITION,COLOR,COORDINATES
0,01SR0950001,Anderson,STATE HIGHWAY AGENCY,21.0,Good,Green,"[-84.28086933899993, 36.00599171600004]"
1,020A1470001,Bedford,COUNTY HIGHWAY AGENCY,35.0,Good,Green,"[-86.27817309399995, 35.58994850300007]"
2,020A1480001,Bedford,COUNTY HIGHWAY AGENCY,11.0,Good,Green,"[-86.27733552299998, 35.617219215000034]"
3,020A1530001,Bedford,COUNTY HIGHWAY AGENCY,58.0,Fair,Yellow,"[-86.32135930099997, 35.60082644000005]"
4,020A1680007,Bedford,COUNTY HIGHWAY AGENCY,32.0,Fair,Yellow,"[-86.24624130299998, 35.607336359000044]"
5,020A1680001,Bedford,COUNTY HIGHWAY AGENCY,34.0,Good,Green,"[-86.25001877599999, 35.599369255000056]"
6,03SR0690031,Benton,STATE HIGHWAY AGENCY,92.0,Fair,Yellow,"[-88.11544028199995, 36.02552053200003]"
7,03SR0690033,Benton,STATE HIGHWAY AGENCY,46.0,Fair,Yellow,"[-88.11569727499995, 36.04828566200007]"
8,03SR0692009,Benton,STATE HIGHWAY AGENCY,28.0,Fair,Yellow,"[-88.10124303899994, 36.14507208500004]"
9,03I00400007,Benton,STATE HIGHWAY AGENCY,56.0,Fair,Yellow,"[-87.96990426299999, 35.86869117700007]"
10,01024440003,Anderson,COUNTY HIGHWAY AGENCY,33.0,Good,Green,"[-84.23240278299994, 36.06693116200006]"
11,01024440005,Anderson,COUNTY HIGHWAY AGENCY,28.0,Good,Green,"[-84.22805874399995, 36.06752432900004]"
12,01024520001,Anderson,COUNTY HIGHWAY AGENCY,58.0,Fair,Yellow,"[-83.99944288199998, 36.15763343900005]"
13,01S24750001,Anderson,COUNTY HIGHWAY AGENCY,78.0,Fair,Yellow,"[-84.04185241199997, 36.20259741000007]"
14,020A1220001,Bedford,COUNTY HIGHWAY AGENCY,78.0,Poor,Orange,"[-86.51647098999996, 35.564661165000075]"
15,020A1250001,Bedford,COUNTY HIGHWAY AGENCY,34.0,Good,Green,"[-86.48997141999996, 35.550197946000026]"
16,020A1270001,Bedford,COUNTY HIGHWAY AGENCY,34.0,Good,Green,"[-86.46749567699999, 35.521887538000044]"
17,020A1290001,Bedford,COUNTY HIGHWAY AGENCY,14.0,Good,Green,"[-86.30087268599993, 35.52037805500004]"
18,020A1320001,Bedford,COUNTY HIGHWAY AGENCY,55.0,Fair,Yellow,"[-86.41304625099997, 35.55602178200007]"
19,020A1430003,Bedford,COUNTY HIGHWAY AGENCY,31.0,Good,Green,"[-86.36432310599997, 35.52112280400007]"
20,01I00750013,Anderson,STATE HIGHWAY AGENCY,49.0,Fair,Yellow,"[-84.07207986699996, 36.158013882000034]"
21,010A1380001,Anderson,COUNTY HIGHWAY AGENCY,30.0,Fair,Yellow,"[-84.07997259099994, 36.16042536200007]"
22,010A1380003,Anderson,COUNTY HIGHWAY AGENCY,48.0,Fair,Yellow,"[-84.06992624799994, 36.15560498900004]"
23,01I00750009,Anderson,STATE HIGHWAY AGENCY,49.0,Fair,Yellow,"[-84.06274687299998, 36.14939572600008]"
24,010A1450001,Anderson,COUNTY HIGHWAY AGENCY,48.0,Fair,Yellow,"[-84.03621175499995, 36.125333211000054]"
25,010A3370003,Anderson,COUNTY HIGHWAY AGENCY,20.0,Fair,Yellow,"[-84.22793402499997, 36.06958072500004]"
26,010A3910003,Anderson,CITY OR MUNICIPAL HIGHWAY AGENCY,20.0,Good,Green,"[-84.33412049799995, 36.02966495100003]"
27,060A8300001,Bradley,COUNTY HIGHWAY AGENCY,11.0,Good,Green,"[-84.77523601299998, 35.10895874400006]"
28,060A8510001,Bradley,COUNTY HIGHWAY AGENCY,27.0,Good,Green,"[-84.85980452499996, 35.05558664900008]"
29,01I00750019,Anderson,STATE HIGHWAY AGENCY,49.0,Fair,Yellow,"[-84.09208881899997, 36.17915602100004]"
30,01I00750023,Anderson,STATE HIGHWAY AGENCY,49.0,Fair,Yellow,"[-84.12323085599996, 36.204844990000026]"
31,01I00750024,Anderson,STATE HIGHWAY AGENCY,49.0,Fair,Yellow,"[-84.12323085599996, 36.204844990000026]"
32,01I00750027,Anderson,STATE HIGHWAY AGENCY,47.0,Fair,Yellow,"[-84.13627335999996, 36.212521034000076]"
33,01I00750031,Anderson,STATE HIGHWAY AGENCY,53.0,Fair,Yellow,"[-84.15131614699999, 36.22727051600003]"
34,01I00750035,Anderson,STATE HIGHWAY AGENCY,48.0,Fair,Yellow,"[-84.16042704799997, 36.23371778500007]"
35,06SR0020001,Bradley,STATE HIGHWAY AGENCY,93.0,Fair,Yellow,"[-84.94998753199997, 35.12242214400004]"
36,06SR0023001,Bradley,STATE HIGHWAY AGENCY,58.0,Good,Green,"[-84.86638249599997, 35.190009246000045]"
37,06FA0023003,Bradley,STATE HIGHWAY AGENCY,58.0,Good,Green,"[-84.85312656399998, 35.19650746900004]"
38,06SR0020013,Bradley,STATE HIGHWAY AGENCY,17.0,Good,Green,"[-84.83732007299994, 35.20894169800005]"
39,06SR0020015,Bradley,STATE HIGHWAY AGENCY,23.0,Good,Green,"[-84.75711436699999, 35.28991060900006]"
40,06SR0020007,Bradley,STATE HIGHWAY AGENCY,14.0,Good,Green,"[-84.88489032599995, 35.15810175200005]"
41,06SR0400005,Bradley,STATE HIGHWAY AGENCY,47.0,Good,Green,"[-84.74914940899998, 35.132941119000066]"
42,06SR0400007,Bradley,STATE HIGHWAY AGENCY,47.0,Good,Green,"[-84.73580766899994, 35.13087934400005]"
43,010A0980001,Anderson,STATE HIGHWAY AGENCY,80.0,Fair,Yellow,"[-84.16112221199995, 36.236202062000075]"
44,02S42890015,Bedford,STATE HIGHWAY AGENCY,88.0,Fair,Yellow,"[-86.34055034199997, 35.52771250700005]"
45,06SR0404019,Bradley,STATE HIGHWAY AGENCY,44.0,Good,Green,"[-84.84992574599994, 35.146807169000056]"
46,06SR0404021,Bradley,STATE HIGHWAY AGENCY,44.0,Good,Green,"[-84.84783173699998, 35.149646903000075]"
47,06SR0600024,Bradley,STATE HIGHWAY AGENCY,42.0,Good,Green,"[-84.84455708199994, 35.154414503000055]"
48,06SR0600022,Bradley,STATE HIGHWAY AGENCY,42.0,Good,Green,"[-84.84498396299995, 35.159617585000035]"
49,06SR0600025,Bradley,STATE HIGHWAY AGENCY,42.0,Good,Green,"[-84.84765610099998, 35.16571778600007]"
50,06SR0600026,Bradley,STATE HIGHWAY AGENCY,42.0,Good,Green,"[-84.84765610099998, 35.16571778600007]"
51,06SR0600007,Bradley,STATE HIGHWAY AGENCY,5.0,Good,Green,"[-84.89869336999999, 35.24890712800004]"
52,06SR0600009,Bradley,STATE HIGHWAY AGENCY,5.0,Good,Green,"[-84.93981872199998, 35.279647673000056]"
53,06SR0740005,Bradley,STATE HIGHWAY AGENCY,83.0,Fair,Yellow,"[-84.77790772499998, 35.00128204400005]"
54,02E00290029,Bedford,STATE HIGHWAY AGENCY,78.0,Poor,Orange,"[-86.31860364199997, 35.52062174100007]"
55,02S42890007,Bedford,STATE HIGHWAY AGENCY,82.0,Fair,Yellow,"[-86.29624748399993, 35.472351855000056]"
56,02S42890005,Bedford,STATE HIGHWAY AGENCY,25.0,Fair,Yellow,"[-86.29507625399998, 35.46691463500008]"
57,02S42890001,Bedford,STATE HIGHWAY AGENCY,26.0,Good,Green,"[-86.26073707599994, 35.43736139400005]"
58,02020010001,Bedford,STATE HIGHWAY AGENCY,58.0,Good,Green,"[-86.32853940999996, 35.40634012700008]"
59,03008910001,Benton,COUNTY HIGHWAY AGENCY,31.0,Fair,Yellow,"[-88.15513355999997, 35.99198476300006]"
60,03S81500001,Benton,STATE HIGHWAY AGENCY,58.0,Fair,Yellow,"[-88.08452168499997, 36.23637588100007]"
61,03F03480003,Benton,COUNTY HIGHWAY AGENCY,58.0,Fair,Yellow,"[-87.99874181399997, 35.84273553300005]"
62,03I00400003,Benton,STATE HIGHWAY AGENCY,53.0,Fair,Yellow,"[-88.06388877999996, 35.851720459000035]"
63,03017490001,Benton,CITY OR MUNICIPAL HIGHWAY AGENCY,43.0,Fair,Yellow,"[-88.07934856199995, 36.06756529300003]"
